StartEndYear,Period,Area,Series code,Industry,Adjusted,Benchmark,No. of Employed
"2019","Annual","Alameda County","15000000","Natural Resources, Mining and Constructi","Not Adj","2020","49,600"
"2019","Annual","Alameda County","30000000","Manufacturing","Not Adj","2020","85,000"
"2019","Annual","Alameda County","31000000","Durable Goods","Not Adj","2020","61,300"
"2019","Annual","Alameda County","32000000","Nondurable Goods","Not Adj","2020","23,700"
"2019","Annual","Alameda County","40000000","Trade, Transportation and Utilities","Not Adj","2020","138,800"
"2019","Annual","Alameda County","41000000","Wholesale Trade","Not Adj","2020","36,400"
"2019","Annual","Alameda County","42000000","Retail Trade","Not Adj","2020","70,300"
"2019","Annual","Alameda County","43000000","Transportation, Warehousing and Utilitie","Not Adj","2020","32,200"
"2019","Annual","Alameda County","50000000","Information","Not Adj","2020","20,500"
"2019","Annual","Alameda County","55000000","Financial Activities","Not Adj","2020","28,400"
"2019","Annual","Alameda County","55520000","Finance and Insurance","Not Adj","2020","17,500"
"2019","Annual","Alameda County","55530000","Real Estate and Rental and Leasing","Not Adj","2020","10,800"
"2019","Annual","Alameda County","60000000","Professional and Business Services","Not Adj","2020","136,600"
"2019","Annual","Alameda County","60540000","Professional, Scientific and Technical S","Not Adj","2020","76,400"
"2019","Annual","Alameda County","60550000","Management of Companies and Enterprises","Not Adj","2020","16,500"
"2019","Annual","Alameda County","60560000","Administrative and Support and Waste Ser","Not Adj","2020","43,800"
"2019","Annual","Alameda County","65000000","Educational and Health Services","Not Adj","2020","126,000"
"2019","Annual","Alameda County","65610000","Educational Services","Not Adj","2020","16,400"
"2019","Annual","Alameda County","65620000","Health Care and Social Assistance","Not Adj","2020","109,600"
"2019","Annual","Alameda County","70000000","Leisure and Hospitality","Not Adj","2020","78,000"
"2019","Annual","Alameda County","70710000","Arts, Entertainment, and Recreation","Not Adj","2020","12,900"
"2019","Annual","Alameda County","70720000","Accommodation and Food Service","Not Adj","2020","65,100"
"2019","Annual","Alameda County","80000000","Other Services","Not Adj","2020","27,500"
"2019","Annual","Alameda County","90000000","Government","Not Adj","2020","124,100"
"2019","Annual","Alameda County","90910000","Federal Government","Not Adj","2020","8,700"
"2019","Annual","Alameda County","90920000","State Government","Not Adj","2020","38,000"
"2019","Annual","Alameda County","90930000","Local Government","Not Adj","2020","77,400"
"2018","Annual","Alameda County","00000000","Total Nonfarm","Not Adj","2020","806,800"
"2018","Annual","Alameda County","01000000","Total Wage and Salary","Not Adj","2020","807,500"
"2018","Annual","Alameda County","06000000","Goods Producing","Not Adj","2020","133,800"
"2018","Annual","Alameda County","07000000","Service Providing","Not Adj","2020","673,100"
"2018","Annual","Alameda County","11000000","Total Farm","Not Adj","2020","600"
"2018","Annual","Alameda County","15000000","Natural Resources, Mining and Constructi","Not Adj","2020","49,000"
"2018","Annual","Alameda County","30000000","Manufacturing","Not Adj","2020","84,700"
"2018","Annual","Alameda County","31000000","Durable Goods","Not Adj","2020","60,700"
"2018","Annual","Alameda County","32000000","Nondurable Goods","Not Adj","2020","24,100"
"2018","Annual","Alameda County","40000000","Trade, Transportation and Utilities","Not Adj","2020","139,700"
"2018","Annual","Alameda County","41000000","Wholesale Trade","Not Adj","2020","37,800"
"2018","Annual","Alameda County","42000000","Retail Trade","Not Adj","2020","71,700"
"2018","Annual","Alameda County","43000000","Transportation, Warehousing and Utilitie","Not Adj","2020","30,300"
"2018","Annual","Alameda County","50000000","Information","Not Adj","2020","20,000"
"2018","Annual","Alameda County","55000000","Financial Activities","Not Adj","2020","28,000"
"2018","Annual","Alameda County","55520000","Finance and Insurance","Not Adj","2020","17,500"
"2018","Annual","Alameda County","55530000","Real Estate and Rental and Leasing","Not Adj","2020","10,600"
"2018","Annual","Alameda County","60000000","Professional and Business Services","Not Adj","2020","134,000"
"2018","Annual","Alameda County","60540000","Professional, Scientific and Technical S","Not Adj","2020","73,500"
"2018","Annual","Alameda County","60550000","Management of Companies and Enterprises","Not Adj","2020","16,900"
"2018","Annual","Alameda County","60560000","Administrative and Support and Waste Ser","Not Adj","2020","43,600"
"2018","Annual","Alameda County","65000000","Educational and Health Services","Not Adj","2020","123,600"
"2018","Annual","Alameda County","65610000","Educational Services","Not Adj","2020","15,800"
"2018","Annual","Alameda County","65620000","Health Care and Social Assistance","Not Adj","2020","107,800"
"2018","Annual","Alameda County","70000000","Leisure and Hospitality","Not Adj","2020","76,400"
"2018","Annual","Alameda County","70710000","Arts, Entertainment, and Recreation","Not Adj","2020","11,500"
"2018","Annual","Alameda County","70720000","Accommodation and Food Service","Not Adj","2020","64,900"
"2018","Annual","Alameda County","80000000","Other Services","Not Adj","2020","27,500"
"2018","Annual","Alameda County","90000000","Government","Not Adj","2020","123,900"
"2018","Annual","Alameda County","90910000","Federal Government","Not Adj","2020","8,700"
"2018","Annual","Alameda County","90920000","State Government","Not Adj","2020","37,900"
"2018","Annual","Alameda County","90930000","Local Government","Not Adj","2020","77,300"
"2017","Annual","Alameda County","00000000","Total Nonfarm","Not Adj","2020","789,700"
"2017","Annual","Alameda County","01000000","Total Wage and Salary","Not Adj","2020","790,300"
"2017","Annual","Alameda County","06000000","Goods Producing","Not Adj","2020","125,900"
"2017","Annual","Alameda County","07000000","Service Providing","Not Adj","2020","663,800"
"2017","Annual","Alameda County","11000000","Total Farm","Not Adj","2020","600"
"2017","Annual","Alameda County","15000000","Natural Resources, Mining and Constructi","Not Adj","2020","45,900"
"2017","Annual","Alameda County","30000000","Manufacturing","Not Adj","2020","79,900"
"2017","Annual","Alameda County","31000000","Durable Goods","Not Adj","2020","55,500"
"2017","Annual","Alameda County","32000000","Nondurable Goods","Not Adj","2020","24,400"
"2017","Annual","Alameda County","40000000","Trade, Transportation and Utilities","Not Adj","2020","138,300"
"2017","Annual","Alameda County","41000000","Wholesale Trade","Not Adj","2020","38,100"
"2017","Annual","Alameda County","42000000","Retail Trade","Not Adj","2020","71,200"
"2017","Annual","Alameda County","43000000","Transportation, Warehousing and Utilitie","Not Adj","2020","29,000"
"2017","Annual","Alameda County","50000000","Information","Not Adj","2020","18,800"
"2017","Annual","Alameda County","55000000","Financial Activities","Not Adj","2020","28,700"
"2017","Annual","Alameda County","55520000","Finance and Insurance","Not Adj","2020","18,500"
"2017","Annual","Alameda County","55530000","Real Estate and Rental and Leasing","Not Adj","2020","10,300"
"2017","Annual","Alameda County","60000000","Professional and Business Services","Not Adj","2020","130,400"
"2017","Annual","Alameda County","60540000","Professional, Scientific and Technical S","Not Adj","2020","69,300"
"2017","Annual","Alameda County","60550000","Management of Companies and Enterprises","Not Adj","2020","17,400"
"2017","Annual","Alameda County","60560000","Administrative and Support and Waste Ser","Not Adj","2020","43,600"
"2017","Annual","Alameda County","65000000","Educational and Health Services","Not Adj","2020","122,200"
"2017","Annual","Alameda County","65610000","Educational Services","Not Adj","2020","15,800"
"2017","Annual","Alameda County","65620000","Health Care and Social Assistance","Not Adj","2020","106,400"
"2017","Annual","Alameda County","70000000","Leisure and Hospitality","Not Adj","2020","74,100"
"2017","Annual","Alameda County","70710000","Arts, Entertainment, and Recreation","Not Adj","2020","10,900"
"2017","Annual","Alameda County","70720000","Accommodation and Food Service","Not Adj","2020","63,200"
"2017","Annual","Alameda County","80000000","Other Services","Not Adj","2020","27,200"
"2017","Annual","Alameda County","90000000","Government","Not Adj","2020","124,200"
"2017","Annual","Alameda County","90910000","Federal Government","Not Adj","2020","9,000"
"2017","Annual","Alameda County","90920000","State Government","Not Adj","2020","37,900"
"2017","Annual","Alameda County","90930000","Local Government","Not Adj","2020","77,300"
"2016","Annual","Alameda County","00000000","Total Nonfarm","Not Adj","2020","771,400"
"2016","Annual","Alameda County","01000000","Total Wage and Salary","Not Adj","2020","771,900"
"2016","Annual","Alameda County","06000000","Goods Producing","Not Adj","2020","118,100"
"2016","Annual","Alameda County","07000000","Service Providing","Not Adj","2020","653,400"
"2016","Annual","Alameda County","11000000","Total Farm","Not Adj","2020","500"
"2016","Annual","Alameda County","15000000","Natural Resources, Mining and Constructi","Not Adj","2020","43,000"
"2016","Annual","Alameda County","30000000","Manufacturing","Not Adj","2020","75,000"
"2016","Annual","Alameda County","31000000","Durable Goods","Not Adj","2020","51,800"
"2016","Annual","Alameda County","32000000","Nondurable Goods","Not Adj","2020","23,200"
"2016","Annual","Alameda County","40000000","Trade, Transportation and Utilities","Not Adj","2020","137,900"
"2016","Annual","Alameda County","41000000","Wholesale Trade","Not Adj","2020","38,700"
"2016","Annual","Alameda County","42000000","Retail Trade","Not Adj","2020","71,800"
"2016","Annual","Alameda County","43000000","Transportation, Warehousing and Utilitie","Not Adj","2020","27,500"
"2016","Annual","Alameda County","50000000","Information","Not Adj","2020","18,200"
"2016","Annual","Alameda County","55000000","Financial Activities","Not Adj","2020","30,300"
"2016","Annual","Alameda County","55520000","Finance and Insurance","Not Adj","2020","20,300"
"2016","Annual","Alameda County","55530000","Real Estate and Rental and Leasing","Not Adj","2020","10,100"
"2016","Annual","Alameda County","60000000","Professional and Business Services","Not Adj","2020","128,700"
"2016","Annual","Alameda County","60540000","Professional, Scientific and Technical S","Not Adj","2020","71,900"
"2016","Annual","Alameda County","60550000","Management of Companies and Enterprises","Not Adj","2020","14,300"
"2016","Annual","Alameda County","60560000","Administrative and Support and Waste Ser","Not Adj","2020","42,500"
"2016","Annual","Alameda County","65000000","Educational and Health Services","Not Adj","2020","117,600"
"2016","Annual","Alameda County","65610000","Educational Services","Not Adj","2020","16,000"
"2016","Annual","Alameda County","65620000","Health Care and Social Assistance","Not Adj","2020","101,600"
"2016","Annual","Alameda County","70000000","Leisure and Hospitality","Not Adj","2020","70,900"
"2016","Annual","Alameda County","70710000","Arts, Entertainment, and Recreation","Not Adj","2020","10,100"
"2016","Annual","Alameda County","70720000","Accommodation and Food Service","Not Adj","2020","60,800"
"2016","Annual","Alameda County","80000000","Other Services","Not Adj","2020","26,200"
"2016","Annual","Alameda County","90000000","Government","Not Adj","2020","123,500"
"2016","Annual","Alameda County","90910000","Federal Government","Not Adj","2020","9,200"
"2016","Annual","Alameda County","90920000","State Government","Not Adj","2020","38,400"
"2016","Annual","Alameda County","90930000","Local Government","Not Adj","2020","76,000"
"2015","Annual","Alameda County","00000000","Total Nonfarm","Not Adj","2020","749,000"
"2015","Annual","Alameda County","01000000","Total Wage and Salary","Not Adj","2020","749,400"
"2015","Annual","Alameda County","06000000","Goods Producing","Not Adj","2020","113,300"
"2015","Annual","Alameda County","07000000","Service Providing","Not Adj","2020","635,600"
"2015","Annual","Alameda County","11000000","Total Farm","Not Adj","2020","500"
"2015","Annual","Alameda County","15000000","Natural Resources, Mining and Constructi","Not Adj","2020","40,900"
"2015","Annual","Alameda County","30000000","Manufacturing","Not Adj","2020","72,500"
"2015","Annual","Alameda County","31000000","Durable Goods","Not Adj","2020","49,900"
"2015","Annual","Alameda County","32000000","Nondurable Goods","Not Adj","2020","22,500"
"2015","Annual","Alameda County","40000000","Trade, Transportation and Utilities","Not Adj","2020","135,700"
"2015","Annual","Alameda County","41000000","Wholesale Trade","Not Adj","2020","38,100"
"2015","Annual","Alameda County","42000000","Retail Trade","Not Adj","2020","70,800"
"2015","Annual","Alameda County","43000000","Transportation, Warehousing and Utilitie","Not Adj","2020","26,900"
"2015","Annual","Alameda County","50000000","Information","Not Adj","2020","16,600"
"2015","Annual","Alameda County","55000000","Financial Activities","Not Adj","2020","29,300"
"2015","Annual","Alameda County","55520000","Finance and Insurance","Not Adj","2020","19,400"
"2015","Annual","Alameda County","55530000","Real Estate and Rental and Leasing","Not Adj","2020","9,900"
"2015","Annual","Alameda County","60000000","Professional and Business Services","Not Adj","2020","125,700"
"2015","Annual","Alameda County","60540000","Professional, Scientific and Technical S","Not Adj","2020","68,400"
"2015","Annual","Alameda County","60550000","Management of Companies and Enterprises","Not Adj","2020","15,900"
"2015","Annual","Alameda County","60560000","Administrative and Support and Waste Ser","Not Adj","2020","41,400"
"2015","Annual","Alameda County","65000000","Educational and Health Services","Not Adj","2020","114,500"
"2015","Annual","Alameda County","65610000","Educational Services","Not Adj","2020","15,600"
"2015","Annual","Alameda County","65620000","Health Care and Social Assistance","Not Adj","2020","98,900"
"2015","Annual","Alameda County","70000000","Leisure and Hospitality","Not Adj","2020","68,400"
"2015","Annual","Alameda County","70710000","Arts, Entertainment, and Recreation","Not Adj","2020","9,800"
"2015","Annual","Alameda County","70720000","Accommodation and Food Service","Not Adj","2020","58,500"
"2015","Annual","Alameda County","80000000","Other Services","Not Adj","2020","25,500"
"2015","Annual","Alameda County","90000000","Government","Not Adj","2020","120,100"
"2015","Annual","Alameda County","90910000","Federal Government","Not Adj","2020","9,100"
"2015","Annual","Alameda County","90920000","State Government","Not Adj","2020","38,600"
"2015","Annual","Alameda County","90930000","Local Government","Not Adj","2020","72,400"
"2014","Annual","Alameda County","00000000","Total Nonfarm","Not Adj","2020","720,100"
"2014","Annual","Alameda County","01000000","Total Wage and Salary","Not Adj","2020","720,600"
"2014","Annual","Alameda County","06000000","Goods Producing","Not Adj","2020","105,100"
"2014","Annual","Alameda County","07000000","Service Providing","Not Adj","2020","615,000"
"2014","Annual","Alameda County","11000000","Total Farm","Not Adj","2020","500"
"2014","Annual","Alameda County","15000000","Natural Resources, Mining and Constructi","Not Adj","2020","37,600"
"2014","Annual","Alameda County","30000000","Manufacturing","Not Adj","2020","67,500"
"2014","Annual","Alameda County","31000000","Durable Goods","Not Adj","2020","46,100"
"2014","Annual","Alameda County","32000000","Nondurable Goods","Not Adj","2020","21,400"
"2014","Annual","Alameda County","40000000","Trade, Transportation and Utilities","Not Adj","2020","131,300"
"2014","Annual","Alameda County","41000000","Wholesale Trade","Not Adj","2020","37,000"
"2014","Annual","Alameda County","42000000","Retail Trade","Not Adj","2020","68,900"
"2014","Annual","Alameda County","43000000","Transportation, Warehousing and Utilitie","Not Adj","2020","25,400"
"2014","Annual","Alameda County","50000000","Information","Not Adj","2020","14,700"
"2014","Annual","Alameda County","55000000","Financial Activities","Not Adj","2020","29,100"
"2014","Annual","Alameda County","55520000","Finance and Insurance","Not Adj","2020","19,100"
"2014","Annual","Alameda County","55530000","Real Estate and Rental and Leasing","Not Adj","2020","10,000"
"2014","Annual","Alameda County","60000000","Professional and Business Services","Not Adj","2020","120,400"
"2014","Annual","Alameda County","60540000","Professional, Scientific and Technical S","Not Adj","2020","64,100"
"2014","Annual","Alameda County","60550000","Management of Companies and Enterprises","Not Adj","2020","17,900"
"2014","Annual","Alameda County","60560000","Administrative and Support and Waste Ser","Not Adj","2020","38,400"
"2014","Annual","Alameda County","65000000","Educational and Health Services","Not Adj","2020","111,600"
"2014","Annual","Alameda County","65610000","Educational Services","Not Adj","2020","16,000"
"2014","Annual","Alameda County","65620000","Health Care and Social Assistance","Not Adj","2020","95,600"
"2014","Annual","Alameda County","70000000","Leisure and Hospitality","Not Adj","2020","65,800"
"2014","Annual","Alameda County","70710000","Arts, Entertainment, and Recreation","Not Adj","2020","9,800"
"2014","Annual","Alameda County","70720000","Accommodation and Food Service","Not Adj","2020","56,000"
"2014","Annual","Alameda County","80000000","Other Services","Not Adj","2020","25,000"
"2014","Annual","Alameda County","90000000","Government","Not Adj","2020","117,300"
"2014","Annual","Alameda County","90910000","Federal Government","Not Adj","2020","9,300"
"2014","Annual","Alameda County","90920000","State Government","Not Adj","2020","38,000"
"2014","Annual","Alameda County","90930000","Local Government","Not Adj","2020","70,000"
"2013","Annual","Alameda County","00000000","Total Nonfarm","Not Adj","2020","701,100"
"2013","Annual","Alameda County","01000000","Total Wage and Salary","Not Adj","2020","701,600"
"2013","Annual","Alameda County","06000000","Goods Producing","Not Adj","2020","100,200"
"2013","Annual","Alameda County","07000000","Service Providing","Not Adj","2020","600,900"
"2013","Annual","Alameda County","11000000","Total Farm","Not Adj","2020","600"
"2013","Annual","Alameda County","15000000","Natural Resources, Mining and Constructi","Not Adj","2020","35,600"
"2013","Annual","Alameda County","30000000","Manufacturing","Not Adj","2020","64,600"
"2013","Annual","Alameda County","31000000","Durable Goods","Not Adj","2020","43,700"
"2013","Annual","Alameda County","32000000","Nondurable Goods","Not Adj","2020","20,900"
"2013","Annual","Alameda County","40000000","Trade, Transportation and Utilities","Not Adj","2020","127,700"
"2013","Annual","Alameda County","41000000","Wholesale Trade","Not Adj","2020","36,500"
"2013","Annual","Alameda County","42000000","Retail Trade","Not Adj","2020","67,200"
"2013","Annual","Alameda County","43000000","Transportation, Warehousing and Utilitie","Not Adj","2020","24,000"
"2013","Annual","Alameda County","50000000","Information","Not Adj","2020","14,100"
"2013","Annual","Alameda County","55000000","Financial Activities","Not Adj","2020","28,000"
"2013","Annual","Alameda County","55520000","Finance and Insurance","Not Adj","2020","18,500"
"2013","Annual","Alameda County","55530000","Real Estate and Rental and Leasing","Not Adj","2020","9,600"
"2013","Annual","Alameda County","60000000","Professional and Business Services","Not Adj","2020","118,400"
"2013","Annual","Alameda County","60540000","Professional, Scientific and Technical S","Not Adj","2020","62,400"
"2013","Annual","Alameda County","60550000","Management of Companies and Enterprises","Not Adj","2020","19,400"
"2013","Annual","Alameda County","60560000","Administrative and Support and Waste Ser","Not Adj","2020","36,500"
"2013","Annual","Alameda County","65000000","Educational and Health Services","Not Adj","2020","111,000"
"2013","Annual","Alameda County","65610000","Educational Services","Not Adj","2020","15,600"
"2013","Annual","Alameda County","65620000","Health Care and Social Assistance","Not Adj","2020","95,400"
"2013","Annual","Alameda County","70000000","Leisure and Hospitality","Not Adj","2020","61,900"
"2013","Annual","Alameda County","70710000","Arts, Entertainment, and Recreation","Not Adj","2020","9,400"
"2013","Annual","Alameda County","70720000","Accommodation and Food Service","Not Adj","2020","52,500"
"2013","Annual","Alameda County","80000000","Other Services","Not Adj","2020","24,800"
"2013","Annual","Alameda County","90000000","Government","Not Adj","2020","115,100"
"2013","Annual","Alameda County","90910000","Federal Government","Not Adj","2020","9,300"
"2013","Annual","Alameda County","90920000","State Government","Not Adj","2020","37,600"
"2013","Annual","Alameda County","90930000","Local Government","Not Adj","2020","68,200"
"2012","Annual","Alameda County","00000000","Total Nonfarm","Not Adj","2020","682,100"
"2012","Annual","Alameda County","01000000","Total Wage and Salary","Not Adj","2020","682,800"
"2012","Annual","Alameda County","06000000","Goods Producing","Not Adj","2020","95,600"
"2012","Annual","Alameda County","07000000","Service Providing","Not Adj","2020","586,500"
"2012","Annual","Alameda County","11000000","Total Farm","Not Adj","2020","700"
"2012","Annual","Alameda County","15000000","Natural Resources, Mining and Constructi","Not Adj","2020","33,300"
"2012","Annual","Alameda County","30000000","Manufacturing","Not Adj","2020","62,300"
"2012","Annual","Alameda County","31000000","Durable Goods","Not Adj","2020","43,300"
"2012","Annual","Alameda County","32000000","Nondurable Goods","Not Adj","2020","19,000"
"2012","Annual","Alameda County","40000000","Trade, Transportation and Utilities","Not Adj","2020","123,300"
"2012","Annual","Alameda County","41000000","Wholesale Trade","Not Adj","2020","35,600"
"2012","Annual","Alameda County","42000000","Retail Trade","Not Adj","2020","63,500"
"2012","Annual","Alameda County","43000000","Transportation, Warehousing and Utilitie","Not Adj","2020","24,200"
"2012","Annual","Alameda County","50000000","Information","Not Adj","2020","14,500"
"2012","Annual","Alameda County","55000000","Financial Activities","Not Adj","2020","26,100"
"2012","Annual","Alameda County","55520000","Finance and Insurance","Not Adj","2020","16,900"
"2012","Annual","Alameda County","55530000","Real Estate and Rental and Leasing","Not Adj","2020","9,100"
"2012","Annual","Alameda County","60000000","Professional and Business Services","Not Adj","2020","117,300"
"2012","Annual","Alameda County","60540000","Professional, Scientific and Technical S","Not Adj","2020","61,800"
"2012","Annual","Alameda County","60550000","Management of Companies and Enterprises","Not Adj","2020","21,600"
"2012","Annual","Alameda County","60560000","Administrative and Support and Waste Ser","Not Adj","2020","33,800"
"2012","Annual","Alameda County","65000000","Educational and Health Services","Not Adj","2020","108,300"
"2012","Annual","Alameda County","65610000","Educational Services","Not Adj","2020","14,600"
"2012","Annual","Alameda County","65620000","Health Care and Social Assistance","Not Adj","2020","93,700"
"2012","Annual","Alameda County","70000000","Leisure and Hospitality","Not Adj","2020","58,300"
"2012","Annual","Alameda County","70710000","Arts, Entertainment, and Recreation","Not Adj","2020","9,100"
"2012","Annual","Alameda County","70720000","Accommodation and Food Service","Not Adj","2020","49,200"
"2012","Annual","Alameda County","80000000","Other Services","Not Adj","2020","24,000"
"2012","Annual","Alameda County","90000000","Government","Not Adj","2020","114,900"
"2012","Annual","Alameda County","90910000","Federal Government","Not Adj","2020","9,600"
"2012","Annual","Alameda County","90920000","State Government","Not Adj","2020","37,300"
"2012","Annual","Alameda County","90930000","Local Government","Not Adj","2020","68,000"
"2011","Annual","Alameda County","00000000","Total Nonfarm","Not Adj","2020","661,700"
"2011","Annual","Alameda County","01000000","Total Wage and Salary","Not Adj","2020","662,400"
"2011","Annual","Alameda County","06000000","Goods Producing","Not Adj","2020","93,000"
"2011","Annual","Alameda County","07000000","Service Providing","Not Adj","2020","568,800"
"2011","Annual","Alameda County","11000000","Total Farm","Not Adj","2020","700"
"2011","Annual","Alameda County","15000000","Natural Resources, Mining and Constructi","Not Adj","2020","30,800"
"2011","Annual","Alameda County","30000000","Manufacturing","Not Adj","2020","62,100"
"2011","Annual","Alameda County","31000000","Durable Goods","Not Adj","2020","43,100"
"2011","Annual","Alameda County","32000000","Nondurable Goods","Not Adj","2020","19,000"
"2011","Annual","Alameda County","40000000","Trade, Transportation and Utilities","Not Adj","2020","119,200"
"2011","Annual","Alameda County","41000000","Wholesale Trade","Not Adj","2020","34,300"
"2011","Annual","Alameda County","42000000","Retail Trade","Not Adj","2020","61,400"
"2011","Annual","Alameda County","43000000","Transportation, Warehousing and Utilitie","Not Adj","2020","23,500"
"2011","Annual","Alameda County","50000000","Information","Not Adj","2020","14,200"
"2011","Annual","Alameda County","55000000","Financial Activities","Not Adj","2020","24,500"
"2011","Annual","Alameda County","55520000","Finance and Insurance","Not Adj","2020","15,700"
"2011","Annual","Alameda County","55530000","Real Estate and Rental and Leasing","Not Adj","2020","8,800"
"2011","Annual","Alameda County","60000000","Professional and Business Services","Not Adj","2020","111,000"
"2011","Annual","Alameda County","60540000","Professional, Scientific and Technical S","Not Adj","2020","58,500"
"2011","Annual","Alameda County","60550000","Management of Companies and Enterprises","Not Adj","2020","20,300"
"2011","Annual","Alameda County","60560000","Administrative and Support and Waste Ser","Not Adj","2020","32,200"
"2011","Annual","Alameda County","65000000","Educational and Health Services","Not Adj","2020","104,600"
"2011","Annual","Alameda County","65610000","Educational Services","Not Adj","2020","14,100"
"2011","Annual","Alameda County","65620000","Health Care and Social Assistance","Not Adj","2020","90,500"
"2011","Annual","Alameda County","70000000","Leisure and Hospitality","Not Adj","2020","56,000"
"2011","Annual","Alameda County","70710000","Arts, Entertainment, and Recreation","Not Adj","2020","9,100"
"2011","Annual","Alameda County","70720000","Accommodation and Food Service","Not Adj","2020","46,900"
"2011","Annual","Alameda County","80000000","Other Services","Not Adj","2020","23,300"
"2011","Annual","Alameda County","90000000","Government","Not Adj","2020","116,000"
"2011","Annual","Alameda County","90910000","Federal Government","Not Adj","2020","9,700"
"2011","Annual","Alameda County","90920000","State Government","Not Adj","2020","37,100"
"2011","Annual","Alameda County","90930000","Local Government","Not Adj","2020","69,200"
"2010","Annual","Alameda County","00000000","Total Nonfarm","Not Adj","2020","652,900"
"2010","Annual","Alameda County","01000000","Total Wage and Salary","Not Adj","2020","653,600"
"2010","Annual","Alameda County","06000000","Goods Producing","Not Adj","2020","90,500"
"2010","Annual","Alameda County","07000000","Service Providing","Not Adj","2020","562,400"
"2010","Annual","Alameda County","11000000","Total Farm","Not Adj","2020","700"
"2010","Annual","Alameda County","15000000","Natural Resources, Mining and Constructi","Not Adj","2020","30,300"
"2010","Annual","Alameda County","30000000","Manufacturing","Not Adj","2020","60,200"
"2010","Annual","Alameda County","31000000","Durable Goods","Not Adj","2020","42,000"
"2010","Annual","Alameda County","32000000","Nondurable Goods","Not Adj","2020","18,100"
"2010","Annual","Alameda County","40000000","Trade, Transportation and Utilities","Not Adj","2020","117,800"
"2010","Annual","Alameda County","41000000","Wholesale Trade","Not Adj","2020","34,300"
"2010","Annual","Alameda County","42000000","Retail Trade","Not Adj","2020","60,700"
"2010","Annual","Alameda County","43000000","Transportation, Warehousing and Utilitie","Not Adj","2020","22,800"
"2010","Annual","Alameda County","50000000","Information","Not Adj","2020","14,300"
"2010","Annual","Alameda County","55000000","Financial Activities","Not Adj","2020","23,300"
"2010","Annual","Alameda County","55520000","Finance and Insurance","Not Adj","2020","14,300"
"2010","Annual","Alameda County","55530000","Real Estate and Rental and Leasing","Not Adj","2020","9,000"
